name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
athens,2014-01-01,9.8,8,8.9,8.9,6.2,7.4,5.1,77.2,0.4,100,4.17,rain,0,0,,23.2,352.9,1021,87.6,9.5,28.7,2.5,1,,2014-01-01T07:41:08,2014-01-01T17:16:08,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"LGEL,16716199999,LGAV,16718099999,16699099999,LGTG"
athens,2014-01-02,12.5,6.6,10.3,12.5,6.6,9.4,6,74.9,0,0,0,,0,0,,22.1,352.4,1019.9,76.1,9.8,110.5,9.6,5,,2014-01-02T07:41:16,2014-01-02T17:16:57,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,LGAV,16718099999,16699099999,LGTG"
athens,2014-01-03,14.7,5,9,14.7,3.9,8.7,5.2,78.3,0,0,0,,0,0,,11.8,3.6,1021.9,44.6,9.9,114.6,9.9,5,,2014-01-03T07:41:22,2014-01-03T17:17:47,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,LGAV,16718099999,16699099999,LGTG"
athens,2014-01-04,13.9,4.7,8.7,13.9,3.3,8.3,4.8,78.1,0,0,0,,0,0,,16.3,347.4,1024.2,37.7,10,119.6,10.3,5,,2014-01-04T07:41:27,2014-01-04T17:18:38,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,LGAV,16718099999,16699099999,LGTG"
athens,2014-01-05,14.9,3,8.6,14.9,1.7,8.2,5.6,82.5,0,0,0,,0,0,,12.4,301.5,1022.4,37.6,9.6,123.2,10.6,5,,2014-01-05T07:41:29,2014-01-05T17:19:30,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,LGAV,16718099999,16699099999,LGTG"
athens,2014-01-06,15.3,8.8,12.4,15.3,8.8,12.4,9.5,82.6,0,0,0,,0,0,,15.2,114.8,1019.4,85.6,9.9,38.8,3.5,2,,2014-01-06T07:41:29,2014-01-06T17:20:24,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,LGAV,16718099999,16699099999,LGTG"
athens,2014-01-07,15.5,10.2,12.7,15.5,10.2,12.7,8.7,77.3,0,0,0,,0,0,,21,1.2,1022.3,65.2,9.6,24.5,2.1,1,,2014-01-07T07:41:27,2014-01-07T17:21:19,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,LGAV,16718099999,16699099999,LGTG"
athens,2014-01-08,15.8,10.2,12.6,15.8,10.2,12.6,6.8,68.2,0,0,0,,0,0,42.5,23.8,346.1,1022.2,39.9,9.9,97.1,8.3,4,,2014-01-08T07:41:23,2014-01-08T17:22:15,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,LGAV,16718099999,16699099999,LGTG"
athens,2014-01-09,17.4,7.4,12.5,17.4,7.4,12.5,5.1,61.4,0,0,0,,0,0,,17.1,356.1,1020.7,9.1,9.2,128.1,11,5,,2014-01-09T07:41:16,2014-01-09T17:23:12,0.27,Clear,Clear conditions throughout the day.,clear-day,"LGEL,16716199999,LGAV,16718099999,16699099999,LGTG"
athens,2014-01-10,17.1,4.8,10.3,17.1,4,10.2,6.3,77.5,0,0,0,,0,0,,16.2,254.5,1019.4,28.3,6.1,128.8,11,5,,2014-01-10T07:41:08,2014-01-10T17:24:10,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,LGAV,16718099999,16699099999,LGTG"
