,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,athens,2023-01-01,16.9,6.8,11.7,16.9,6.6,11.5,6.4,71.1,0.0,0,0.0,,0.0,0.0,28.8,17.5,359.4,1030.6,26.3,10.0,87.0,7.4,5,10,2023-01-01T07:41:08,2023-01-01T17:16:00,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
1,athens,2023-01-02,16.5,4.3,10.2,16.5,4.3,9.9,4.7,70.1,0.0,0,0.0,,0.0,0.0,17.3,13.6,19.8,1030.0,19.5,10.0,89.5,7.7,5,10,2023-01-02T07:41:17,2023-01-02T17:16:48,0.34,Clear,Clear conditions throughout the day.,clear-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
2,athens,2023-01-03,16.5,4.4,9.6,16.5,4.4,9.5,5.6,77.1,0.0,0,0.0,,0.0,0.0,15.1,8.4,305.1,1027.3,2.8,9.5,88.5,7.6,5,10,2023-01-03T07:41:24,2023-01-03T17:17:38,0.38,Clear,Clear conditions throughout the day.,clear-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
3,athens,2023-01-04,17.2,4.9,10.5,17.2,4.1,10.3,6.4,77.1,0.0,0,0.0,,0.0,0.0,18.6,10.3,16.8,1024.9,19.0,9.9,86.5,7.5,5,10,2023-01-04T07:41:28,2023-01-04T17:18:29,0.41,Clear,Clear conditions throughout the day.,clear-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
4,athens,2023-01-05,18.3,7.5,11.8,18.3,6.9,11.7,7.8,77.3,0.0,0,0.0,,0.0,0.0,33.5,11.0,24.0,1021.7,28.4,10.0,88.1,7.5,5,10,2023-01-05T07:41:31,2023-01-05T17:19:21,0.45,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,H8EW,16741099999,16718099999,16716099999,16699099999,16715099999"
5,athens,2023-01-06,17.5,5.4,11.0,17.5,5.4,10.9,5.9,72.6,0.0,0,0.0,,0.0,0.0,30.4,13.5,348.7,1021.0,24.3,9.9,88.8,7.5,5,10,2023-01-06T07:41:31,2023-01-06T17:20:15,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
6,athens,2023-01-07,16.9,4.9,10.5,16.9,3.5,10.3,4.7,68.6,0.0,0,0.0,,0.0,0.0,23.9,13.3,1.5,1023.0,24.6,10.1,96.3,8.3,5,10,2023-01-07T07:41:29,2023-01-07T17:21:09,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,H8EW,16741099999,16718099999,16716099999,16699099999,16715099999"
7,athens,2023-01-08,15.9,3.4,9.5,15.9,3.2,9.4,5.4,76.7,0.0,0,0.0,,0.0,0.0,23.5,19.3,347.5,1021.4,17.7,10.0,86.0,7.3,4,10,2023-01-08T07:41:26,2023-01-08T17:22:05,0.55,Clear,Clear conditions throughout the day.,clear-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
8,athens,2023-01-09,16.1,4.0,9.8,16.1,2.9,9.7,6.7,81.7,0.0,0,0.0,,0.0,0.0,25.2,18.1,223.3,1019.6,34.9,10.0,89.5,7.5,5,10,2023-01-09T07:41:20,2023-01-09T17:23:02,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
9,athens,2023-01-10,16.1,9.0,12.6,16.1,8.4,12.6,8.5,76.7,6.381,100,8.33,rain,0.0,0.0,72.7,33.5,208.5,1010.4,59.6,9.6,24.8,2.0,1,10,2023-01-10T07:41:12,2023-01-10T17:24:00,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
10,athens,2023-01-11,14.5,6.3,9.7,14.5,5.9,9.4,4.8,72.5,0.0,0,0.0,rain,0.0,0.0,54.0,12.0,336.1,1011.4,34.4,10.0,68.2,5.8,5,10,2023-01-11T07:41:02,2023-01-11T17:24:58,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
11,athens,2023-01-12,14.4,6.3,10.5,14.4,5.8,10.3,4.4,66.6,0.0,0,0.0,rain,0.0,0.0,21.0,13.3,339.5,1016.2,50.7,10.0,79.5,6.7,5,10,2023-01-12T07:40:50,2023-01-12T17:25:58,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
12,athens,2023-01-13,13.9,7.3,10.7,13.9,6.3,10.2,3.8,63.0,0.03,100,4.17,rain,0.0,0.0,35.6,19.0,336.7,1017.9,39.7,10.0,75.7,6.5,5,10,2023-01-13T07:40:36,2023-01-13T17:26:59,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"LGEL,16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16699099999,16715099999"
13,athens,2023-01-14,14.9,4.8,9.7,14.9,3.1,9.3,4.5,71.0,0.0,0,0.0,,0.0,0.0,16.6,12.1,315.1,1018.4,35.1,10.0,90.5,7.8,5,10,2023-01-14T07:40:19,2023-01-14T17:28:00,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,H8EW,16741099999,16718099999,16716099999,16699099999,16715099999"
14,athens,2023-01-15,13.4,5.9,10.0,13.4,3.7,9.7,4.9,71.5,0.0,0,0.0,,0.0,0.0,30.9,21.1,333.1,1018.5,47.1,10.0,65.6,5.4,3,10,2023-01-15T07:40:01,2023-01-15T17:29:02,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LGEL,16716199999,E4115,LGAV,H8EW,16741099999,16718099999,16716099999,16699099999,16715099999"
